Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit
Team Golf New England Patriots Putter Grip,202312,0,1.88503
Under Armour Men's Compression EV SL Slide,202312,0,0.77155
Bridgestone e6 Straight Distance NFL Tennesse,202312,0,0.83715
Glove It Women's Mod Oval Golf Glove,202312,0,0.79216
Titleist Pro V1x High Numbers Golf Balls,202312,0,0.4519
Nike Women's Legend V-Neck T-Shirt,202312,0,1.72672
Under Armour Kids' Mercenary Slide,202312,0,0.30745
adidas Kids' F5 Messi FG Soccer Cleat,202312,0,0.28923
Children's heaters,202312,0,0.33793
Web Camera,202312,0,1.1257
Dell Laptop,202312,14,1.56369
Porcelain crafts,202312,0,1.27555
Sports Books,202312,2,0.99933
DVDs,202312,64,2.03553
Industrial consumer electronics,202312,0,1.98371
Fighting video games,202312,4,1.87778
Summer dresses,202312,13,1.3625
Lawn mower,202312,4,1.34376
Adult dog supplies,202312,2,2.07928
Rock music,202312,16,2.26272
Elevation Training Mask 2.0,202312,0,2.01992
LIJA Women's Mid-Length Panel Golf Shorts,202312,0,1.87068
Toys,202312,133,0.19512
Brooks Women's Ghost 6 Running Shoe,202312,0,0.87784
Bag Boy M330 Push Cart,202312,0,0.89532
Merrell Women's Grassbow Sport Hiking Shoe,202312,0,2.33326
Nike Men's Free TR 5.0 TB Training Shoe,202312,0,1.64028
Nike Women's Free 5.0 TR FIT PRT 4 Training S,202312,0,0.76304
First aid kit,202312,18,0.18893
CDs of rock,202312,0,1.2039
Polar FT4 Heart Rate Monitor,202312,0,1.91129
LIJA Women's Argyle Golf Polo,202312,0,0.42388
TaylorMade White Smoke IN-12 Putter,202312,0,1.5587
Fitbit The One Wireless Activity & Sleep Trac,202312,0,0.35075
Nike Kids' Grade School KD VI Basketball Shoe,202312,0,1.44465
The North Face Women's Recon Backpack,202312,0,0.28817
Smart watch,202312,42,1.58784
Baby sweater,202312,0,2.06503
MDGolf Pittsburgh Penguins Putter,202312,0,1.1476
Men's gala suit,202312,3,1.57465
Merrell Men's All Out Flash Trail Running Sho,202312,0,0.24096
Garmin Approach S3 Golf GPS Watch,202312,0,1.09327
LIJA Women's Button Golf Dress,202312,0,1.1183
Cleveland Golf Women's 588 RTX CB Satin Chrom,202312,0,1.26731
Merrell Women's Siren Mid Waterproof Hiking B,202312,0,1.74796
TaylorMade Women's RBZ SL Rescue,202312,0,1.3918
Mio ALPHA Heart Rate Monitor/Sport Watch,202312,0,2.08941
TaylorMade 2023 Purelite Stand Bag,202312,0,0.95654
Cleveland Golf Collegiate My Custom Wedge 588,202312,0,0.66784
adidas Brazuca 2023 Official Match Ball,202312,0,1.0839
Nike Men's Fingertrap Max Training Shoe,202312,0,0.90172
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,202312,0,1.60391
Nike Men's Kobe IX Elite Low Basketball Shoe,202312,0,0.43288
Ogio Race Golf Shoes,202312,0,0.34053
insta-bed Neverflat Air Mattress,202312,0,2.22542
GolfBuddy VT3 GPS Watch,202312,0,1.59059
Merrell Women's Grassbow Sport Waterproof Hik,202312,0,0.93751
Titleist Small Wheeled Travel Cover,202312,0,0.61532
Polar Loop Activity Tracker,202312,0,2.27348
Pelican Maverick 100X Kayak,202312,0,2.11183
Garmin Approach S4 Golf GPS Watch,202312,0,1.04738
Total Gym 1400,202312,0,2.00022
Garmin Forerunner 910XT GPS Watch,202312,0,0.23621
Titleist Club Glove Travel Cover,202312,0,1.37169
GoPro HERO3+ Black Edition Camera,202312,0,1.43061
Diamondback Boys' Insight 24 Performance Hybr,202312,0,0.94231
Diamondback Girls' Clarity 24 Hybrid Bike 201,202312,0,0.3946
Stiga Master Series ST3100 Competition Indoor,202312,0,0.46527
SOLE E35 Elliptical,202312,1,0.36106
Bushnell Pro X7 Jolt Slope Rangefinder,202312,9,2.22684
SOLE E25 Elliptical,202312,23,1.84297
Bowflex SelectTech 1090 Dumbbells,202312,36,1.49431
Perfect Fitness Perfect Rip Deck,202311,7,2.30448
Nike Men's Dri-FIT Victory Golf Polo,202311,14,1.05628
O'Brien Men's Neoprene Life Vest,202311,0,1.96228
Nike Men's Free 5.0+ Running Shoe,202311,3,2.24632
Under Armour Girls' Toddler Spine Surge Runni,202311,5,0.41294
Nike Men's CJ Elite 2 TD Football Cleat,202311,0,1.17278
Field & Stream Sportsman 16 Gun Fire Safe,202311,0,2.21846
Pelican Sunstream 100 Kayak,202311,0,0.17196
Diamondback Women's Serene Classic Comfort Bi,202311,0,0.60975
ENO Atlas Hammock Straps,202311,0,1.68268
Nike Men's Comfort 2 Slide,202311,0,1.03473
adidas Youth Germany Black/Red Away Match Soc,202311,0,1.15918
Team Golf St. Louis Cardinals Putter Grip,202311,0,1.3009
LIJA Women's Eyelet Sleeveless Golf Polo,202311,0,0.96918
adidas Men's F10 Messi TRX FG Soccer Cleat,202311,0,1.95337
Glove It Women's Imperial Golf Glove,202311,0,0.87019
Glove It Imperial Golf Towel,202311,2,1.86995
Bridgestone e6 Straight Distance NFL Carolina,202311,0,2.20461
Glove It Women's Mod Oval 3-Zip Carry All Gol,202311,0,0.31714
Columbia Men's PFG Anchor Tough T-Shirt,202311,0,1.37329
Under Armour Women's Ignite Slide,202311,0,0.29626
Team Golf Tennessee Volunteers Putter Grip,202311,0,0.83648
Titleist Pro V1x High Numbers Personalized Go,202311,0,0.71236
Nike Men's Deutschland Weltmeister Winners Bl,202311,0,1.9268
Bridgestone e6 Straight Distance NFL San Dieg,202311,0,2.22572
Nike Women's Tempo Shorts,202311,0,0.95345
Team Golf Texas Longhorns Putter Grip,202311,0,2.1138
Hirzl Women's Soffft Flex Golf Glove,202311,0,2.28022
Clicgear 8.0 Shoe Brush,202311,0,1.62205
Hirzl Women's Hybrid Golf Glove,202311,0,0.44146
Team Golf Pittsburgh Steelers Putter Grip,202311,0,1.59423
Top Flite Women's 2023 XL Hybrid,202311,0,0.75864
Glove It Urban Brick Golf Towel,202311,0,0.82516
Nike Dri-FIT Crew Sock 6 Pack,202311,0,1.03676
TYR Boys' Team Digi Jammer,202311,0,1.2935
Team Golf San Francisco Giants Putter Grip,202311,0,0.31878
Clicgear Rovic Cooler Bag,202311,0,1.61228
Hirzl Men's Hybrid Golf Glove,202311,0,1.18082
Titleist Pro V1x Golf Balls,202311,0,1.57594
adidas Men's Germany Black Crest Away Tee,202311,0,0.36907
Titleist Pro V1 High Numbers Personalized Gol,202311,0,1.78277
Under Armour Women's Micro G Skulpt Running S,202311,0,0.95777
Under Armour Hustle Storm Medium Duffle Bag,202311,2,1.54382
Under Armour Women's Ignite PIP VI Slide,202311,0,0.80255
Bag Boy Beverage Holder,202311,0,0.37946
Under Armour Men's Tech II T-Shirt,202311,0,0.24393
Team Golf New England Patriots Putter Grip,202311,0,0.70882
Under Armour Men's Compression EV SL Slide,202311,0,1.16109
Bridgestone e6 Straight Distance NFL Tennesse,202311,0,0.4111
Glove It Women's Mod Oval Golf Glove,202311,0,2.23179
Titleist Pro V1x High Numbers Golf Balls,202311,0,0.60281
Nike Women's Legend V-Neck T-Shirt,202311,0,1.51008
Under Armour Kids' Mercenary Slide,202311,0,2.04851
adidas Kids' F5 Messi FG Soccer Cleat,202311,0,2.26857
Children's heaters,202311,1,0.78152
Web Camera,202311,5,1.5434
Dell Laptop,202311,22,1.21721
Porcelain crafts,202311,36,0.54235
Sports Books,202311,26,1.46957
DVDs,202311,33,0.79126
Industrial consumer electronics,202311,0,1.80573
Fighting video games,202311,18,0.156
Summer dresses,202311,25,0.2102
Lawn mower,202311,8,0.27954
Adult dog supplies,202311,19,2.29154
Rock music,202311,2,0.73288
Elevation Training Mask 2.0,202311,0,0.19942
LIJA Women's Mid-Length Panel Golf Shorts,202311,0,0.62155
Toys,202311,0,1.09646
Brooks Women's Ghost 6 Running Shoe,202311,0,0.34501
Bag Boy M330 Push Cart,202311,0,1.55828
Merrell Women's Grassbow Sport Hiking Shoe,202311,0,0.53424
Nike Men's Free TR 5.0 TB Training Shoe,202311,0,0.7889
Nike Women's Free 5.0 TR FIT PRT 4 Training S,202311,0,0.37848
First aid kit,202311,0,2.29855
CDs of rock,202311,3,0.85409
Polar FT4 Heart Rate Monitor,202311,0,1.77867
LIJA Women's Argyle Golf Polo,202311,0,1.2768
TaylorMade White Smoke IN-12 Putter,202311,0,2.26641
Fitbit The One Wireless Activity & Sleep Trac,202311,0,1.56387
Nike Kids' Grade School KD VI Basketball Shoe,202311,0,0.66894
The North Face Women's Recon Backpack,202311,0,0.64597
Smart watch,202311,30,1.08703
Baby sweater,202311,10,0.30632
MDGolf Pittsburgh Penguins Putter,202311,0,1.19935
Men's gala suit,202311,5,1.20661
Merrell Men's All Out Flash Trail Running Sho,202311,2,1.98059
Garmin Approach S3 Golf GPS Watch,202311,0,1.21618
LIJA Women's Button Golf Dress,202311,0,1.44057
Cleveland Golf Women's 588 RTX CB Satin Chrom,202311,0,1.75228
Merrell Women's Siren Mid Waterproof Hiking B,202311,0,1.97427
TaylorMade Women's RBZ SL Rescue,202311,0,0.37808
Mio ALPHA Heart Rate Monitor/Sport Watch,202311,0,1.04173
TaylorMade 2023 Purelite Stand Bag,202311,0,0.23332
Cleveland Golf Collegiate My Custom Wedge 588,202311,0,1.03187
adidas Brazuca 2023 Official Match Ball,202311,0,2.02978
Nike Men's Fingertrap Max Training Shoe,202311,0,0.5335
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,202311,2,0.5909
Nike Men's Kobe IX Elite Low Basketball Shoe,202311,0,0.5749
Ogio Race Golf Shoes,202311,0,0.39652
insta-bed Neverflat Air Mattress,202311,0,1.65185
GolfBuddy VT3 GPS Watch,202311,0,1.46056
Merrell Women's Grassbow Sport Waterproof Hik,202311,0,2.07629
Titleist Small Wheeled Travel Cover,202311,0,0.77099
Polar Loop Activity Tracker,202311,1,1.0942
Pelican Maverick 100X Kayak,202311,0,1.63028
Garmin Approach S4 Golf GPS Watch,202311,0,2.32042
Total Gym 1400,202311,0,2.02645
Garmin Forerunner 910XT GPS Watch,202311,0,1.4785
Titleist Club Glove Travel Cover,202311,0,0.99194
GoPro HERO3+ Black Edition Camera,202311,0,0.70677
Diamondback Boys' Insight 24 Performance Hybr,202311,0,2.32551
Diamondback Girls' Clarity 24 Hybrid Bike 201,202311,0,1.95685
Stiga Master Series ST3100 Competition Indoor,202311,0,0.62974
SOLE E35 Elliptical,202311,6,1.20568
Bushnell Pro X7 Jolt Slope Rangefinder,202311,34,1.75316
SOLE E25 Elliptical,202311,24,2.00579
Bowflex SelectTech 1090 Dumbbells,202311,7,1.35111
Perfect Fitness Perfect Rip Deck,202310,2,2.28291
Nike Men's Dri-FIT Victory Golf Polo,202310,19,2.29996
O'Brien Men's Neoprene Life Vest,202310,8,2.0023
Nike Men's Free 5.0+ Running Shoe,202310,7,1.31385
Under Armour Girls' Toddler Spine Surge Runni,202310,14,1.33668
Nike Men's CJ Elite 2 TD Football Cleat,202310,0,0.44156
Field & Stream Sportsman 16 Gun Fire Safe,202310,0,0.40466
Pelican Sunstream 100 Kayak,202310,0,2.03988
Diamondback Women's Serene Classic Comfort Bi,202310,0,1.77754
ENO Atlas Hammock Straps,202310,0,1.05987
Nike Men's Comfort 2 Slide,202310,0,0.97586
adidas Youth Germany Black/Red Away Match Soc,202310,0,1.57212
Team Golf St. Louis Cardinals Putter Grip,202310,0,0.36145
LIJA Women's Eyelet Sleeveless Golf Polo,202310,0,1.55363
adidas Men's F10 Messi TRX FG Soccer Cleat,202310,0,2.24155
Glove It Women's Imperial Golf Glove,202310,0,0.14742
Glove It Imperial Golf Towel,202310,0,1.28418
Bridgestone e6 Straight Distance NFL Carolina,202310,0,0.88873
Glove It Women's Mod Oval 3-Zip Carry All Gol,202310,0,2.17162
Columbia Men's PFG Anchor Tough T-Shirt,202310,0,2.2386
Under Armour Women's Ignite Slide,202310,0,1.56443
Team Golf Tennessee Volunteers Putter Grip,202310,0,2.11911
Titleist Pro V1x High Numbers Personalized Go,202310,0,2.11361
Nike Men's Deutschland Weltmeister Winners Bl,202310,0,0.44429
Bridgestone e6 Straight Distance NFL San Dieg,202310,0,0.2727
Nike Women's Tempo Shorts,202310,0,0.31513
Team Golf Texas Longhorns Putter Grip,202310,0,0.85579
Hirzl Women's Soffft Flex Golf Glove,202310,0,1.68079
Clicgear 8.0 Shoe Brush,202310,0,0.75891
Hirzl Women's Hybrid Golf Glove,202310,0,2.0864
Team Golf Pittsburgh Steelers Putter Grip,202310,0,2.21873
Top Flite Women's 2023 XL Hybrid,202310,2,2.03709
Glove It Urban Brick Golf Towel,202310,0,2.31327
Nike Dri-FIT Crew Sock 6 Pack,202310,0,0.82014
TYR Boys' Team Digi Jammer,202310,0,0.30068
Team Golf San Francisco Giants Putter Grip,202310,0,1.88387
Clicgear Rovic Cooler Bag,202310,0,2.14677
Hirzl Men's Hybrid Golf Glove,202310,0,2.18555
Titleist Pro V1x Golf Balls,202310,0,1.29717
adidas Men's Germany Black Crest Away Tee,202310,0,1.03461
Titleist Pro V1 High Numbers Personalized Gol,202310,0,1.30144
Under Armour Women's Micro G Skulpt Running S,202310,0,1.17006
Under Armour Hustle Storm Medium Duffle Bag,202310,0,1.88358
Under Armour Women's Ignite PIP VI Slide,202310,0,0.23134
Bag Boy Beverage Holder,202310,0,0.14176
Under Armour Men's Tech II T-Shirt,202310,0,0.19946
Team Golf New England Patriots Putter Grip,202310,0,1.0851
Under Armour Men's Compression EV SL Slide,202310,0,0.10481
Bridgestone e6 Straight Distance NFL Tennesse,202310,0,1.51056
Glove It Women's Mod Oval Golf Glove,202310,0,0.77133
Titleist Pro V1x High Numbers Golf Balls,202310,0,0.90062
Nike Women's Legend V-Neck T-Shirt,202310,0,1.48976
Under Armour Kids' Mercenary Slide,202310,0,1.3402
adidas Kids' F5 Messi FG Soccer Cleat,202310,0,1.85932
Children's heaters,202310,3,2.28254
Web Camera,202310,234,0.88759
Dell Laptop,202310,33,1.59011
Porcelain crafts,202310,39,1.99338
Sports Books,202310,58,2.03661
DVDs,202310,41,0.17026
Industrial consumer electronics,202310,5,0.67386
Fighting video games,202310,0,1.93933
Summer dresses,202310,0,1.95157
Lawn mower,202310,0,0.28382
Adult dog supplies,202310,0,1.58566
Rock music,202310,0,0.98812
Elevation Training Mask 2.0,202310,0,1.73172
LIJA Women's Mid-Length Panel Golf Shorts,202310,0,0.51203
Toys,202310,0,1.73503
Brooks Women's Ghost 6 Running Shoe,202310,0,0.34837
Bag Boy M330 Push Cart,202310,0,1.52002
Merrell Women's Grassbow Sport Hiking Shoe,202310,0,1.35694
Nike Men's Free TR 5.0 TB Training Shoe,202310,0,0.14742
Nike Women's Free 5.0 TR FIT PRT 4 Training S,202310,0,1.67831
First aid kit,202310,0,0.92517
CDs of rock,202310,34,2.22295
Polar FT4 Heart Rate Monitor,202310,0,1.1344
LIJA Women's Argyle Golf Polo,202310,0,0.25182
TaylorMade White Smoke IN-12 Putter,202310,0,0.57951
Fitbit The One Wireless Activity & Sleep Trac,202310,0,0.41727
Nike Kids' Grade School KD VI Basketball Shoe,202310,0,1.77219
The North Face Women's Recon Backpack,202310,0,0.60513
Smart watch,202310,0,1.54556
Baby sweater,202310,27,1.52727
MDGolf Pittsburgh Penguins Putter,202310,1,0.74719
Men's gala suit,202310,0,1.0719
Merrell Men's All Out Flash Trail Running Sho,202310,0,1.34555
Garmin Approach S3 Golf GPS Watch,202310,4,1.83329
LIJA Women's Button Golf Dress,202310,0,2.2351
Cleveland Golf Women's 588 RTX CB Satin Chrom,202310,1,0.79587
Merrell Women's Siren Mid Waterproof Hiking B,202310,0,0.70591
TaylorMade Women's RBZ SL Rescue,202310,0,0.41059
Mio ALPHA Heart Rate Monitor/Sport Watch,202310,0,0.96631
TaylorMade 2023 Purelite Stand Bag,202310,0,1.47356
Cleveland Golf Collegiate My Custom Wedge 588,202310,0,2.31264
adidas Brazuca 2023 Official Match Ball,202310,2,0.85572
Nike Men's Fingertrap Max Training Shoe,202310,0,1.0038
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,202310,0,0.6631
Nike Men's Kobe IX Elite Low Basketball Shoe,202310,0,2.14424
Ogio Race Golf Shoes,202310,0,0.95115
insta-bed Neverflat Air Mattress,202310,0,0.13712
GolfBuddy VT3 GPS Watch,202310,0,1.8096
Merrell Women's Grassbow Sport Waterproof Hik,202310,0,1.52272
Titleist Small Wheeled Travel Cover,202310,0,1.37731
Polar Loop Activity Tracker,202310,0,1.61345
Pelican Maverick 100X Kayak,202310,0,0.84104
Garmin Approach S4 Golf GPS Watch,202310,0,0.16798
Total Gym 1400,202310,0,2.13241
Garmin Forerunner 910XT GPS Watch,202310,2,0.53606
Titleist Club Glove Travel Cover,202310,0,2.32454
GoPro HERO3+ Black Edition Camera,202310,1,1.37089
Diamondback Boys' Insight 24 Performance Hybr,202310,4,2.15012
Diamondback Girls' Clarity 24 Hybrid Bike 201,202310,0,1.81528
Stiga Master Series ST3100 Competition Indoor,202310,0,1.30528
SOLE E35 Elliptical,202310,10,2.07893
Bushnell Pro X7 Jolt Slope Rangefinder,202310,29,1.82287
SOLE E25 Elliptical,202310,7,1.92174
Bowflex SelectTech 1090 Dumbbells,202310,10,2.32944
Perfect Fitness Perfect Rip Deck,202309,536,1.65666
Nike Men's Dri-FIT Victory Golf Polo,202309,531,0.92767
O'Brien Men's Neoprene Life Vest,202309,150,0.91578
Nike Men's Free 5.0+ Running Shoe,202309,105,0.35137
Under Armour Girls' Toddler Spine Surge Runni,202309,165,1.42805
Nike Men's CJ Elite 2 TD Football Cleat,202309,106,1.02406
Field & Stream Sportsman 16 Gun Fire Safe,202309,8,1.49661
Pelican Sunstream 100 Kayak,202309,29,1.60905
Diamondback Women's Serene Classic Comfort Bi,202309,34,0.76535
ENO Atlas Hammock Straps,202309,0,1.35184
Nike Men's Comfort 2 Slide,202309,0,1.71565
adidas Youth Germany Black/Red Away Match Soc,202309,0,0.60725
Team Golf St. Louis Cardinals Putter Grip,202309,0,2.2529
LIJA Women's Eyelet Sleeveless Golf Polo,202309,0,1.38791
adidas Men's F10 Messi TRX FG Soccer Cleat,202309,0,0.79231
Glove It Women's Imperial Golf Glove,202309,0,1.71396
Glove It Imperial Golf Towel,202309,0,0.92872
Bridgestone e6 Straight Distance NFL Carolina,202309,0,0.45655
Glove It Women's Mod Oval 3-Zip Carry All Gol,202309,0,1.39589
Columbia Men's PFG Anchor Tough T-Shirt,202309,0,2.04095
Under Armour Women's Ignite Slide,202309,0,1.22315
Team Golf Tennessee Volunteers Putter Grip,202309,0,0.49377
Titleist Pro V1x High Numbers Personalized Go,202309,0,1.42176
Nike Men's Deutschland Weltmeister Winners Bl,202309,5,1.14285
Bridgestone e6 Straight Distance NFL San Dieg,202309,0,1.66305
Nike Women's Tempo Shorts,202309,0,1.92086
Team Golf Texas Longhorns Putter Grip,202309,0,1.0289
Hirzl Women's Soffft Flex Golf Glove,202309,0,2.13977
Clicgear 8.0 Shoe Brush,202309,0,1.71882
Hirzl Women's Hybrid Golf Glove,202309,0,0.18068
Team Golf Pittsburgh Steelers Putter Grip,202309,0,1.37973
Top Flite Women's 2023 XL Hybrid,202309,4,0.76409
Glove It Urban Brick Golf Towel,202309,0,1.7704
Nike Dri-FIT Crew Sock 6 Pack,202309,0,1.30814
TYR Boys' Team Digi Jammer,202309,0,0.71103
Team Golf San Francisco Giants Putter Grip,202309,0,1.72032
Clicgear Rovic Cooler Bag,202309,0,2.18041
Hirzl Men's Hybrid Golf Glove,202309,0,0.65849
Titleist Pro V1x Golf Balls,202309,0,1.4836
adidas Men's Germany Black Crest Away Tee,202309,0,2.10537
Titleist Pro V1 High Numbers Personalized Gol,202309,0,2.16276
Under Armour Women's Micro G Skulpt Running S,202309,0,0.19311
Under Armour Hustle Storm Medium Duffle Bag,202309,0,1.74441
Under Armour Women's Ignite PIP VI Slide,202309,0,2.00793
Bag Boy Beverage Holder,202309,1,0.60164
Under Armour Men's Tech II T-Shirt,202309,0,0.41537
Team Golf New England Patriots Putter Grip,202309,0,1.31945
Under Armour Men's Compression EV SL Slide,202309,0,0.36877
Bridgestone e6 Straight Distance NFL Tennesse,202309,0,1.19864
Glove It Women's Mod Oval Golf Glove,202309,0,0.34217
Titleist Pro V1x High Numbers Golf Balls,202309,0,0.94261
Nike Women's Legend V-Neck T-Shirt,202309,0,1.17867
Under Armour Kids' Mercenary Slide,202309,0,0.91376
adidas Kids' F5 Messi FG Soccer Cleat,202309,0,1.70442
Children's heaters,202309,2,2.17739
Web Camera,202309,15,1.88508
Dell Laptop,202309,2,0.92704
Porcelain crafts,202309,0,0.4288
Sports Books,202309,0,0.99432
DVDs,202309,2,2.22212
Industrial consumer electronics,202309,0,1.17657
Fighting video games,202309,0,0.63984
Summer dresses,202309,0,0.72677
Lawn mower,202309,0,0.47674
Adult dog supplies,202309,0,0.67386
Rock music,202309,0,2.17014
Elevation Training Mask 2.0,202309,3,1.28252
LIJA Women's Mid-Length Panel Golf Shorts,202309,3,0.82689
Toys,202309,0,1.86337
Brooks Women's Ghost 6 Running Shoe,202309,8,0.37901
Bag Boy M330 Push Cart,202309,4,1.39513
Merrell Women's Grassbow Sport Hiking Shoe,202309,10,0.31175
Nike Men's Free TR 5.0 TB Training Shoe,202309,3,2.07699
Nike Women's Free 5.0 TR FIT PRT 4 Training S,202309,8,1.65839
First aid kit,202309,0,2.18083
CDs of rock,202309,1,0.87013
Polar FT4 Heart Rate Monitor,202309,8,1.12102
LIJA Women's Argyle Golf Polo,202309,4,1.50784
TaylorMade White Smoke IN-12 Putter,202309,0,1.33605
Fitbit The One Wireless Activity & Sleep Trac,202309,1,2.04271
Nike Kids' Grade School KD VI Basketball Shoe,202309,14,0.47433
The North Face Women's Recon Backpack,202309,1,0.95934
Smart watch,202309,0,1.26862
Baby sweater,202309,1,1.29588
MDGolf Pittsburgh Penguins Putter,202309,0,2.09891
Men's gala suit,202309,0,1.73888
Merrell Men's All Out Flash Trail Running Sho,202309,3,2.23425
Garmin Approach S3 Golf GPS Watch,202309,2,0.78309
LIJA Women's Button Golf Dress,202309,0,0.29808
Cleveland Golf Women's 588 RTX CB Satin Chrom,202309,0,1.89474
Merrell Women's Siren Mid Waterproof Hiking B,202309,2,0.1242
TaylorMade Women's RBZ SL Rescue,202309,4,1.1345
Mio ALPHA Heart Rate Monitor/Sport Watch,202309,3,0.60951
TaylorMade 2023 Purelite Stand Bag,202309,0,0.12471
Cleveland Golf Collegiate My Custom Wedge 588,202309,0,1.19893
adidas Brazuca 2023 Official Match Ball,202309,0,2.07119
Nike Men's Fingertrap Max Training Shoe,202309,2,2.23725
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,202309,4,2.20668
Nike Men's Kobe IX Elite Low Basketball Shoe,202309,0,2.1592
Ogio Race Golf Shoes,202309,0,0.32396
insta-bed Neverflat Air Mattress,202309,0,1.86747
GolfBuddy VT3 GPS Watch,202309,3,0.94895
Merrell Women's Grassbow Sport Waterproof Hik,202309,0,2.12731
Titleist Small Wheeled Travel Cover,202309,0,2.07193
Polar Loop Activity Tracker,202309,3,1.21829
Pelican Maverick 100X Kayak,202309,3,1.41186
Garmin Approach S4 Golf GPS Watch,202309,2,0.17691
Total Gym 1400,202309,1,0.19243
Garmin Forerunner 910XT GPS Watch,202309,2,0.78205
Titleist Club Glove Travel Cover,202309,3,0.98067
GoPro HERO3+ Black Edition Camera,202309,0,0.58346
Diamondback Boys' Insight 24 Performance Hybr,202309,0,1.93983
Diamondback Girls' Clarity 24 Hybrid Bike 201,202309,2,1.1197
Stiga Master Series ST3100 Competition Indoor,202309,4,2.13431
SOLE E35 Elliptical,202309,10,0.35477
Bushnell Pro X7 Jolt Slope Rangefinder,202309,27,1.20039
SOLE E25 Elliptical,202309,7,1.42652
Bowflex SelectTech 1090 Dumbbells,202309,39,1.81722
Perfect Fitness Perfect Rip Deck,202308,158,0.56871
Nike Men's Dri-FIT Victory Golf Polo,202308,154,1.15865
O'Brien Men's Neoprene Life Vest,202308,436,1.93181
Nike Men's Free 5.0+ Running Shoe,202308,234,2.17224
Under Armour Girls' Toddler Spine Surge Runni,202308,329,0.91808
Nike Men's CJ Elite 2 TD Football Cleat,202308,52,1.18195
Field & Stream Sportsman 16 Gun Fire Safe,202308,167,1.9601
Pelican Sunstream 100 Kayak,202308,129,2.04143
Diamondback Women's Serene Classic Comfort Bi,202308,6,1.25768
ENO Atlas Hammock Straps,202308,0,0.89496
Nike Men's Comfort 2 Slide,202308,0,1.11522
adidas Youth Germany Black/Red Away Match Soc,202308,3,2.19082
Team Golf St. Louis Cardinals Putter Grip,202308,0,0.8672
LIJA Women's Eyelet Sleeveless Golf Polo,202308,0,2.15979
adidas Men's F10 Messi TRX FG Soccer Cleat,202308,0,0.68625
Glove It Women's Imperial Golf Glove,202308,0,0.96125
Glove It Imperial Golf Towel,202308,0,2.0322
